label,bytes,grpThreads,allThreads,Latency
REST GET expenses,217201,1,1,85
Transaction Controller,217201,1,1,85
REST GET expenses,217201,1,1,87
Transaction Controller,217201,1,1,87
REST GET expenses,217201,1,1,103
Transaction Controller,217201,1,1,103
REST GET expenses,217201,1,1,94
Transaction Controller,217201,1,1,94
REST GET expenses,217201,1,1,90
Transaction Controller,217201,1,1,90
REST GET expenses,217201,1,1,99
Transaction Controller,217201,1,1,99
REST GET expenses,217201,1,1,103
Transaction Controller,217201,1,1,103
REST GET expenses,217201,1,1,95
Transaction Controller,217201,1,1,95
REST GET expenses,217201,1,1,98
Transaction Controller,217201,1,1,98
REST GET expenses,217201,1,1,97
Transaction Controller,217201,1,1,97
REST GET expenses,217201,1,1,98
Transaction Controller,217201,1,1,98
REST GET expenses,217201,1,1,106
Transaction Controller,217201,1,1,106
REST GET expenses,217201,1,1,92
Transaction Controller,217201,1,1,92
REST GET expenses,217201,1,1,98
Transaction Controller,217201,1,1,98
REST GET expenses,217201,1,1,93
Transaction Controller,217201,1,1,93
REST GET expenses,217201,1,1,100
Transaction Controller,217201,1,1,100
REST GET expenses,217201,1,1,103
Transaction Controller,217201,1,1,103
REST GET expenses,217201,1,1,100
Transaction Controller,217201,1,1,100
REST GET expenses,217201,1,1,91
Transaction Controller,217201,1,1,91
REST GET expenses,217201,1,1,99
Transaction Controller,217201,1,1,99
REST GET expenses,217201,1,1,93
Transaction Controller,217201,1,1,93
REST GET expenses,217201,1,1,107
Transaction Controller,217201,1,1,107
REST GET expenses,217201,1,1,96
Transaction Controller,217201,1,1,96
REST GET expenses,217201,1,1,104
Transaction Controller,217201,1,1,104
REST GET expenses,217201,1,1,97
Transaction Controller,217201,1,1,97
REST GET expenses,217201,1,1,99
Transaction Controller,217201,1,1,99
REST GET expenses,217201,1,1,101
Transaction Controller,217201,1,1,101
REST GET expenses,217201,1,1,106
Transaction Controller,217201,1,1,106
REST GET expenses,217201,1,1,111
Transaction Controller,217201,1,1,111
REST GET expenses,217201,1,1,97
Transaction Controller,217201,1,1,97
REST GET expenses,217201,1,1,89
Transaction Controller,217201,1,1,89
REST GET expenses,217201,1,1,94
Transaction Controller,217201,1,1,94
REST GET expenses,217201,1,1,102
Transaction Controller,217201,1,1,102
REST GET expenses,217201,1,1,95
Transaction Controller,217201,1,1,95
REST GET expenses,217201,1,1,94
Transaction Controller,217201,1,1,94
REST GET expenses,217201,1,1,93
Transaction Controller,217201,1,1,93
REST GET expenses,217201,1,1,113
Transaction Controller,217201,1,1,113
REST GET expenses,217201,1,1,91
Transaction Controller,217201,1,1,91
REST GET expenses,217201,1,1,94
Transaction Controller,217201,1,1,94
REST GET expenses,217201,1,1,93
Transaction Controller,217201,1,1,93
REST GET expenses,217201,1,1,98
Transaction Controller,217201,1,1,98
REST GET expenses,217201,1,1,101
Transaction Controller,217201,1,1,101
REST GET expenses,217201,1,1,97
Transaction Controller,217201,1,1,97
REST GET expenses,217201,1,1,106
Transaction Controller,217201,1,1,106
REST GET expenses,217201,1,1,100
Transaction Controller,217201,1,1,100
REST GET expenses,217201,1,1,91
Transaction Controller,217201,1,1,91
REST GET expenses,217201,1,1,98
Transaction Controller,217201,1,1,98
REST GET expenses,217201,1,1,98
Transaction Controller,217201,1,1,98
REST GET expenses,217201,1,1,96
Transaction Controller,217201,1,1,96
